stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject,side
9,19.62421500000005,1.4016536625063216,0.0813494539,1.433275999999978,0.5499780000000101,0.8832979999999679,0.616279069767429,20.507513000000017,21.057491000000027,2461,2527,False,False,1P,S1,right
10,21.057491000000027,1.3885695905782074,0.0861488951,1.4582749999999578,0.6166419999999562,0.8416330000000016,0.5771428571428749,21.89912400000003,22.515765999999985,2628,2702,True,True,1P,S1,right
11,22.515765999999985,1.386717718621228,0.0786049579,2.933215999999902,0.6166419999999562,2.316573999999946,0.7897727272727352,24.83233999999993,25.448981999999887,2980,3054,True,True,1P,S1,right
12,25.448981999999887,1.448694038034667,0.0815362254,1.4916070000001582,0.5249790000000303,0.966628000000128,0.6480446927374472,26.41561000000001,26.940589000000045,3170,3233,False,False,1P,S1,right
13,26.940589000000045,1.4468052294649123,0.080778784,1.4832739999999376,0.6083089999999629,0.8749649999999747,0.589887640449446,27.81555400000002,28.423862999999983,3338,3411,False,False,1P,S1,right
14,28.423862999999983,1.2716528427889495,0.0779063956,1.4832739999999376,0.6249749999999494,0.8582989999999882,0.5786516853932748,29.28216199999997,29.90713699999992,3514,3589,False,False,1P,S1,right
15,29.90713699999992,1.2830709893953838,0.0813303869,3.158207000000175,0.4916470000000572,2.6665600000001177,0.8443271767809931,32.57369700000004,33.065344000000096,3909,3968,True,True,1P,S1,right
16,33.065344000000096,1.527701872388658,0.0889527182,1.4499419999997372,0.591642999999749,0.8582989999999882,0.5919540229886049,33.923643000000084,34.51528599999983,4071,4142,False,False,1P,S1,right
17,34.51528599999983,1.4249006982981236,0.084093371,1.4582750000001852,0.5666439999999966,0.8916310000001886,0.6114285714286231,35.40691700000002,35.97356100000002,4249,4317,False,False,1P,S1,right
18,35.97356100000002,1.261399341158273,0.0860823495,1.3832780000000184,0.5916430000002038,0.7916349999998147,0.5722891566263644,36.76519599999983,37.35683900000004,4412,4483,False,False,1P,S1,right
19,37.35683900000004,1.4670559458242056,0.0798114578,3.483193999999912,0.6583069999999225,2.8248869999999897,0.8110047846890127,40.181726000000026,40.84003299999995,4822,4901,True,True,1P,S1,right
20,40.84003299999995,1.3908715599824253,0.0799384517,1.3749450000000252,0.5249790000000303,0.8499659999999949,0.6181818181818032,41.68999899999994,42.21497799999997,5003,5066,False,False,1P,S1,right
21,42.21497799999997,1.456498444532817,0.0916749841,1.399944000000005,0.5583110000000033,0.8416330000000016,0.6011904761904753,43.056610999999975,43.61492199999998,5167,5234,False,False,1P,S1,right
22,43.61492199999998,1.2551068701723944,0.0828832305,1.4749409999999443,0.5999759999999696,0.8749649999999747,0.593220338983056,44.48988699999995,45.08986299999992,5339,5411,True,True,1P,S1,right
23,45.08986299999992,1.5469821662253365,0.0836552619,2.5082330000000184,0.6499739999999292,1.8582590000000887,0.7408637873754454,46.94812200000001,47.59809599999994,5634,5712,True,True,1P,S1,right
24,47.59809599999994,1.4585534879450726,0.0808809288,1.3832780000000184,0.6249749999999494,0.758303000000069,0.5481927710843799,48.35639900000001,48.98137399999996,5803,5878,False,False,1P,S1,right
25,48.98137399999996,1.4217910395120636,0.0792588375,1.4082769999999982,0.6249749999999494,0.7833020000000488,0.5562130177515147,49.76467600000001,50.38965099999996,5972,6047,False,False,1P,S1,right
