,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
269,10.9393,1.1981,-0.9258,1.2695,0.7728,0.2477
270,10.222,1.6491,-0.6488,0.329,0.2896,0.1454
271,9.076,0.6644,-0.4049,-0.5139,0.1699,0.2428
272,8.3759,-0.1935,-0.1472,-0.654,0.3558,0.4882
273,8.4076,-0.4869,-0.597,-0.403,0.6294,0.7523
274,8.0219,-0.1158,-1.3137,-0.0256,0.702,0.8713
275,7.9085,0.7674,-2.328,0.1682,0.4808,0.8717
276,11.246,0.2268,-10.2973,1.4371,-0.3603,1.0215
277,16.5518,29.1133,-10.0728,1.1231,-2.0174,-1.3497
278,9.9134,-0.7104,1.4113,2.4716,-1.7481,-0.1511
279,10.8356,5.4622,-2.7334,-0.2589,-1.1855,0.3307
280,10.8031,-1.6267,-0.493,-0.2724,-0.5548,-0.0242
281,10.3129,1.0782,0.7919,0.254,-0.3266,-0.291
282,9.6951,1.5804,-0.1855,-0.039,-0.3481,-0.0613
283,10.0008,0.376,-0.0846,-0.0492,-0.3804,-0.1396
284,9.6558,0.2325,0.0342,0.1385,-0.4866,-0.1951
285,9.7038,0.5058,-0.3044,0.1001,-0.637,-0.2824
286,9.9351,0.6553,-0.7799,0.2622,-0.6837,-0.4259
287,9.7052,1.5234,-0.9897,0.1644,-0.6984,-0.4433
288,10.0726,1.3164,-1.099,0.0668,-0.6956,-0.4697
289,9.9862,1.659,-1.6709,-0.0264,-0.6496,-0.501
290,10.1911,1.6486,-1.7454,-0.155,-0.5489,-0.5358
291,11.4123,1.5146,-1.7689,-0.2867,-0.3641,-0.64
292,12.982,2.7734,-0.0532,-0.7108,-0.1658,-0.7932
293,13.7308,-0.2256,1.5422,-1.6099,-0.6581,-0.8255
294,12.4503,-0.2122,1.115,-2.5482,-0.9566,-0.4512
295,9.9283,0.6671,1.0663,-3.8404,-1.0216,-0.235
296,8.7055,-7.7722,5.2273,-0.7694,-0.2002,1.12
297,7.0935,2.1356,5.7429,0.8476,1.5347,1.1646
298,8.3657,2.0345,3.6756,0.4358,2.2155,1.0726
299,11.1813,0.0909,1.8442,1.4654,2.3769,1.0712
300,11.7764,1.2106,-0.488,2.3119,1.7028,0.7562
301,11.0878,1.6497,-1.2699,1.8521,0.9247,0.3306
302,10.6016,1.6609,-0.9821,0.6696,0.4874,0.2096
303,9.3823,0.5491,-0.0674,-0.5772,0.4355,0.3499
304,8.6568,-0.4355,0.3098,-0.9552,0.7126,0.6622
305,9.1911,-0.5123,-0.3841,-0.7231,0.9933,0.9866
306,9.0601,0.2369,-1.836,-0.3774,0.954,1.062
307,8.7187,1.1431,-2.8858,-0.1614,0.5415,0.908
308,8.3894,2.0158,-3.4347,0.0508,-0.0093,0.7371
309,8.2876,7.281,-4.9288,0.8383,-0.5731,0.3877
310,18.5387,25.7545,-6.2809,1.2274,-1.863,-1.4589
311,10.5249,1.4121,0.7493,2.2744,-1.8864,-0.4281
312,9.5092,0.217,-1.7319,-0.8278,-1.4283,0.0216
313,10.9087,-0.4475,-0.916,0.084,-0.5671,-0.4226
314,10.6672,1.9964,-0.0021,-0.0134,-0.3495,-0.2075
315,10.1247,0.5639,-0.4974,-0.2618,-0.2278,-0.084
316,9.7089,-0.2201,-0.037,-0.015,-0.2384,-0.2093
317,9.5198,0.0354,0.4383,0.0512,-0.4838,-0.3451
318,9.4904,0.0146,0.0037,0.177,-0.7557,-0.5263
319,9.7707,1.3139,-0.7817,0.1887,-0.8625,-0.6095
320,10.2538,1.6203,-1.217,0.1235,-0.8362,-0.6172
321,10.2799,1.8846,-1.6446,-0.0383,-0.6391,-0.6018
322,10.5169,1.6232,-1.624,-0.2731,-0.4767,-0.6353
323,12.4271,0.7778,-1.079,-0.4467,-0.3714,-0.8028
324,12.9091,2.5986,1.7252,-0.8353,-0.5194,-0.9266
325,13.5149,-0.691,1.2504,-2.1879,-0.8905,-0.6351
326,12.4712,-0.1985,1.0411,-3.3374,-0.945,-0.2358
327,9.3001,-5.6859,3.5989,-2.9894,-0.6523,0.5013
328,7.4406,-0.7435,7.334,0.7575,1.0395,1.3016
329,8.4764,1.3695,4.3748,0.8673,1.9642,1.1857
330,10.3251,1.4115,2.2237,1.4022,2.3081,1.1052
331,11.176,2.0636,0.2734,2.0753,1.8508,0.7595
332,11.0372,1.97,-1.5275,1.8297,1.0504,0.3341
333,11.0735,1.5738,-1.4442,0.9826,0.444,0.1274
334,9.7555,1.4503,-0.5324,-0.1752,0.3217,0.1844
335,8.248,-0.0577,0.3394,-0.7296,0.5507,0.4971
336,8.6831,-0.5235,0.2249,-0.7257,0.9193,0.8343
337,9.3875,-0.4936,-0.5895,-0.3844,1.0969,1.0406
338,8.9748,0.6017,-1.8722,-0.4011,0.8657,1.0333
339,8.7634,1.5088,-2.586,-0.545,0.3413,0.8637
340,9.1153,-0.1234,-2.2219,-0.3667,-0.2086,0.7859
341,8.5756,5.2762,-4.4106,1.5495,-0.7914,0.3486
342,23.4261,19.3536,-0.4961,1.3349,-2.035,-1.7648
343,8.8707,5.6454,-1.6083,1.3968,-1.7376,-0.6195
344,10.0005,-0.8379,-0.9155,-0.569,-1.3086,-0.0976
345,10.4912,-0.3225,-1.0606,0.2053,-0.583,-0.3976
346,10.7853,1.8506,0.2953,0.1247,-0.3748,-0.2462
347,10.1906,0.3167,-0.4618,-0.1927,-0.3654,-0.1527
348,9.8816,0.3917,-0.3317,-0.0007,-0.3072,-0.2021
349,9.5441,0.6056,-0.0796,0.0214,-0.4064,-0.2912
350,9.6699,0.3906,-0.2638,0.0552,-0.6029,-0.4239
351,9.7313,0.5217,-0.5562,0.0944,-0.8229,-0.5896
352,9.9197,1.3035,-1.0026,0.1135,-0.8919,-0.664
353,10.0923,1.7446,-1.5227,-0.0379,-0.8238,-0.6997
354,10.8808,1.4943,-1.5076,-0.1974,-0.7735,-0.7589
355,13.7478,0.9538,-0.8157,-0.5522,-0.5675,-0.9509
356,14.6611,1.7742,1.4944,-1.6719,-0.7656,-1.1137
357,12.7569,-0.5612,0.3788,-2.8758,-0.8504,-0.4616
358,10.2616,0.9581,0.8699,-4.3257,-0.6437,0.2295
359,9.54,-6.5262,4.9379,-1.58,0.1333,1.5187
360,8.6168,1.5388,5.3566,1.2491,1.6977,1.51
361,9.1916,0.7313,3.6529,0.9002,1.8548,1.2262
362,9.9943,0.0988,2.0515,2.4002,1.9311,1.0578
363,10.8378,3.298,1.05,2.4926,1.4617,0.6079
364,10.7428,1.9135,0.1599,1.2048,0.9321,0.2726
365,10.4195,1.8445,0.2602,0.0701,0.7028,0.257
366,9.568,0.0144,0.2966,-0.8394,0.7094,0.4331
367,9.249,-0.4755,-0.1783,-0.8353,0.8265,0.7023
368,9.4418,-0.3375,-1.1909,-0.4546,0.9233,0.9573
369,8.8596,0.8306,-2.0526,-0.3099,0.8245,0.9881
370,8.0252,1.8841,-3.1268,-0.3145,0.4848,0.834
371,7.736,2.3351,-4.0166,-0.0257,0.1051,0.7049
372,9.6214,3.5459,-6.4477,1.3946,-0.3802,0.7302
373,22.3929,27.6437,0.1417,1.5053,-1.8146,-1.6704
374,9.8484,6.7869,-0.4982,1.7231,-2.1837,-0.4476
375,8.9568,-1.2651,-1.884,-0.8827,-1.5044,-0.0668
376,10.6385,-1.0537,0.0474,0.1044,-0.5652,-0.491
377,10.6239,1.6738,0.0207,0.1118,-0.3965,-0.2641
378,10.179,0.8765,-0.487,-0.1587,-0.2426,-0.1171
379,9.6838,-0.2722,0.1429,-0.0709,-0.261,-0.1682
380,9.4588,0.1283,0.4015,0.0385,-0.4627,-0.321
381,9.5047,0.1165,0.0366,0.1789,-0.7233,-0.4668
382,9.5626,1.1559,-0.6905,0.186,-0.8945,-0.5551
383,10.0453,1.1794,-1.176,0.175,-0.928,-0.6118
384,10.2495,1.6819,-1.6955,0.1345,-0.8006,-0.6284
385,10.2957,1.7166,-1.7463,-0.0908,-0.5734,-0.644
386,11.0562,1.5508,-1.6107,-0.2524,-0.474,-0.6975
387,12.6042,1.2251,-0.4576,-0.4481,-0.4839,-0.7906
388,13.8302,0.6978,1.3475,-1.6845,-0.7459,-0.7861
389,12.5832,-0.5914,0.9833,-3.0119,-0.897,-0.3665
390,10.1291,-0.054,2.0631,-4.1151,-0.8124,0.0105
391,9.2366,-7.5495,5.3174,-1.1247,0.043,1.2759
392,8.2783,1.911,6.2409,1.286,1.6987,1.3638
393,9.4631,0.6297,4.2454,0.326,1.9071,1.1358
394,10.7445,-0.4529,1.7755,1.8583,2.0623,1.0517
395,11.4757,1.8025,0.4649,2.3188,1.6018,0.6171
396,11.2315,0.674,-0.3611,1.7159,1.0007,0.2798
397,10.6462,1.6007,-0.5127,0.9028,0.699,0.2388
398,9.5591,-0.0093,-0.3655,-0.0229,0.6404,0.4053
399,8.6386,-0.2822,-0.6606,-0.2793,0.8353,0.666
400,8.1338,0.42,-1.2831,-0.4447,0.9816,0.8994
401,7.4883,1.3548,-2.2782,-0.5214,0.9031,0.937
402,8.5332,-1.1804,-4.5462,-0.2857,0.4686,0.9471
403,8.9866,3.9697,-4.3962,1.1685,-0.4891,0.4327
404,19.8075,0.7803,11.0457,1.5131,-2.3423,-1.1937
405,9.7459,9.1863,-4.7355,0.4201,-1.7614,-0.4993
406,12.0158,-1.1148,-1.0416,-0.6003,-0.9217,-0.0377
407,10.6616,0.0734,0.2192,-0.0082,-0.2803,-0.3025
408,9.8017,2.2066,-0.3625,-0.0014,-0.2029,-0.2165
409,9.8979,0.3609,0.2281,-0.152,-0.305,-0.1367
410,9.4661,0.0877,0.2327,0.0782,-0.402,-0.2567
411,9.3691,0.9614,0.1907,-0.0034,-0.655,-0.3872
412,9.6758,0.7011,-0.3676,0.1543,-0.8462,-0.5615
413,9.8895,1.9049,-0.853,0.1577,-0.9001,-0.6461
414,10.2633,1.6999,-1.1833,-0.002,-0.8498,-0.6693
