,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
179,10.0831,0.4885,0.2195,-0.0032,-0.0063,-0.0213
180,10.0826,0.5122,0.2319,-0.0042,-0.0001,-0.0192
181,10.0831,0.5123,0.2439,-0.0042,-0.0001,-0.0224
182,10.0474,0.5249,0.2319,-0.0043,-0.0053,-0.0181
183,10.0713,0.5125,0.2437,-0.0096,-0.0086,-0.0139
184,10.107,0.5005,0.2075,-0.0064,-0.0118,-0.0171
185,10.0957,0.5247,0.2195,-0.0,-0.0032,-0.0139
186,10.0704,0.5729,0.2202,-0.0075,-0.0021,-0.0139
187,10.0713,0.5367,0.1955,-0.001,0.001,-0.0118
188,10.0589,0.5491,0.2439,-0.0011,-0.0053,-0.0085
189,10.0713,0.5133,0.2075,-0.0043,-0.0053,-0.0075
190,10.0471,0.5253,0.2077,-0.0011,-0.0053,-0.0054
191,10.0351,0.5251,0.2079,-0.0107,-0.0096,-0.0063
192,10.0829,0.5253,0.2075,-0.0064,-0.0106,-0.0032
193,10.0833,0.5129,0.1835,-0.0085,-0.0064,-0.0032
194,10.0589,0.5371,0.2194,-0.0054,-0.0063,-0.0032
195,10.0591,0.5369,0.2196,-0.0075,-0.0096,-0.0
196,10.0831,0.5369,0.195,-0.0107,-0.0064,-0.0011
197,10.0709,0.5492,0.1955,-0.0064,-0.0053,-0.0032
198,10.083,0.5249,0.2191,-0.0032,-0.0001,-0.0
199,10.0836,0.5373,0.1956,-0.0054,-0.0043,-0.0
200,10.0589,0.5129,0.1953,-0.0032,-0.0053,-0.0021
201,10.0713,0.537,0.1833,-0.0075,-0.0043,-0.0011
202,10.0711,0.5493,0.1955,0.0,-0.0053,-0.0053
203,10.0832,0.5251,0.1713,-0.0032,-0.0075,0.0
204,10.071,0.5252,0.1955,-0.0021,-0.0086,-0.0
205,10.0711,0.5249,0.1833,-0.0032,-0.0096,0.0
206,10.0586,0.5245,0.1588,-0.0096,-0.0128,0.0011
207,10.083,0.5253,0.1708,-0.0075,-0.0128,0.0
208,10.0955,0.5247,0.1708,-0.0043,-0.0118,0.0
209,10.0349,0.525,0.183,-0.0075,-0.016,0.0011
210,10.0711,0.525,0.1708,-0.0086,-0.0193,0.0011
211,10.0589,0.5248,0.1344,-0.0224,-0.0257,0.0043
212,10.0832,0.5128,0.1464,-0.0097,-0.0288,0.0064
213,10.0831,0.5246,0.0978,-0.0128,-0.0203,0.0021
214,10.0346,0.537,0.1221,-0.0075,-0.0214,0.0022
215,10.0591,0.5249,0.0977,-0.0118,-0.0256,0.0064
216,10.0712,0.5005,0.0977,-0.0075,-0.0235,0.0064
